date,ref_1,ref_1_count,ref_1_uniques,ref_2,ref_2_count,ref_2_uniques,ref_3,ref_3_count,ref_3_uniques,ref_4,ref_4_count,ref_4_uniques,ref_5,ref_5_count,ref_5_uniques,ref_6,ref_6_count,ref_6_uniques,ref_7,ref_7_count,ref_7_uniques,ref_8,ref_8_count,ref_8_uniques,ref_9,ref_9_count,ref_9_uniques,ref_10,ref_10_count,ref_10_uniques
2026-08-20,github.com,74,13,teams.public.onecdn.static.microsoft,20,4,Google,16,3,techzone.ibm.com,14,9,chatgpt.com,7,1,jira.atlassian.eupen.com,6,3,pages.github.ibm.com,2,2,DuckDuckGo,1,1,ibm.ent.box.com,1,1,,,
2026-08-20,github.com,74,13,teams.public.onecdn.static.microsoft,20,4,Google,16,3,techzone.ibm.com,14,9,chatgpt.com,7,1,jira.atlassian.eupen.com,6,3,pages.github.ibm.com,2,2,DuckDuckGo,1,1,ibm.ent.box.com,1,1,,,
2026-08-21,github.com,65,10,ibm.ent.box.com,16,1,teams.public.onecdn.static.microsoft,15,4,jira.atlassian.eupen.com,15,3,techzone.ibm.com,13,9,Google,13,3,chatgpt.com,7,1,pages.github.ibm.com,2,2,DuckDuckGo,1,1,,,
2026-08-22,github.com,71,10,ibm.ent.box.com,16,1,jira.atlassian.eupen.com,15,3,Google,13,3,techzone.ibm.com,9,7,chatgpt.com,7,1,teams.public.onecdn.static.microsoft,4,3,pages.github.ibm.com,2,2,DuckDuckGo,1,1,statics.teams.cdn.office.net,1,1
2026-08-23,github.com,71,10,ibm.ent.box.com,16,1,jira.atlassian.eupen.com,15,3,Google,13,3,techzone.ibm.com,9,7,chatgpt.com,7,1,teams.public.onecdn.static.microsoft,4,3,pages.github.ibm.com,2,2,DuckDuckGo,1,1,statics.teams.cdn.office.net,1,1
2026-08-24,github.com,71,10,ibm.ent.box.com,16,1,jira.atlassian.eupen.com,15,3,Google,13,3,techzone.ibm.com,11,8,chatgpt.com,7,1,teams.public.onecdn.static.microsoft,4,3,pages.github.ibm.com,2,2,DuckDuckGo,1,1,statics.teams.cdn.office.net,1,1
2026-08-25,github.com,67,12,ibm.ent.box.com,16,1,jira.atlassian.eupen.com,15,3,Google,13,3,techzone.ibm.com,10,7,chatgpt.com,7,1,teams.public.onecdn.static.microsoft,4,3,DuckDuckGo,1,1,pages.github.ibm.com,1,1,statics.teams.cdn.office.net,1,1
2026-08-27,github.com,67,12,ibm.ent.box.com,16,1,jira.atlassian.eupen.com,15,3,Google,12,2,techzone.ibm.com,10,7,chatgpt.com,7,1,teams.public.onecdn.static.microsoft,2,2,DuckDuckGo,1,1,pages.github.ibm.com,1,1,statics.teams.cdn.office.net,1,1
2026-08-28,github.com,83,11,ibm.ent.box.com,16,1,jira.atlassian.eupen.com,15,3,techzone.ibm.com,12,8,teams.public.onecdn.static.microsoft,9,4,Google,9,3,chatgpt.com,7,1,DuckDuckGo,1,1,pages.github.ibm.com,1,1,statics.teams.cdn.office.net,1,1
2026-08-29,github.com,83,11,ibm.ent.box.com,16,1,jira.atlassian.eupen.com,15,3,techzone.ibm.com,12,8,teams.public.onecdn.static.microsoft,9,4,Google,9,3,chatgpt.com,7,1,DuckDuckGo,1,1,pages.github.ibm.com,1,1,statics.teams.cdn.office.net,1,1
2026-08-30,github.com,83,11,ibm.ent.box.com,16,1,jira.atlassian.eupen.com,15,3,techzone.ibm.com,12,8,teams.public.onecdn.static.microsoft,9,4,Google,9,3,chatgpt.com,7,1,DuckDuckGo,1,1,pages.github.ibm.com,1,1,statics.teams.cdn.office.net,1,1
2026-08-31,github.com,83,10,ibm.ent.box.com,16,1,jira.atlassian.eupen.com,14,3,Google,12,4,techzone.ibm.com,11,8,teams.public.onecdn.static.microsoft,9,3,DuckDuckGo,1,1,pages.github.ibm.com,1,1,statics.teams.cdn.office.net,1,1,,,
2026-09-01,github.com,83,10,ibm.ent.box.com,16,1,jira.atlassian.eupen.com,14,3,Google,12,4,techzone.ibm.com,11,8,teams.public.onecdn.static.microsoft,9,3,DuckDuckGo,1,1,pages.github.ibm.com,1,1,statics.teams.cdn.office.net,1,1,,,
2026-09-02,github.com,95,14,ibm.ent.box.com,16,1,jira.atlassian.eupen.com,14,3,Google,13,5,teams.public.onecdn.static.microsoft,10,3,techzone.ibm.com,9,6,DuckDuckGo,1,1,pages.github.ibm.com,1,1,statics.teams.cdn.office.net,1,1,,,
2026-09-03,github.com,96,15,Google,17,7,ibm.ent.box.com,16,1,techzone.ibm.com,15,6,jira.atlassian.eupen.com,12,3,teams.public.onecdn.static.microsoft,11,3,DuckDuckGo,5,1,ibm.seismic.com,1,1,statics.teams.cdn.office.net,1,1,,,
2026-09-04,github.com,80,19,techzone.ibm.com,22,10,Google,21,9,ibm.ent.box.com,16,1,teams.public.onecdn.static.microsoft,14,5,jira.atlassian.eupen.com,9,3,DuckDuckGo,5,1,app.mural.co,1,1,ibm.seismic.com,1,1,statics.teams.cdn.office.net,1,1
2026-09-05,github.com,87,20,techzone.ibm.com,22,10,Google,17,8,teams.public.onecdn.static.microsoft,16,6,DuckDuckGo,5,1,app.mural.co,1,1,ibm.seismic.com,1,1,statics.teams.cdn.office.net,1,1,,,,,,
2026-09-06,github.com,88,22,techzone.ibm.com,23,11,teams.public.onecdn.static.microsoft,18,7,Google,17,8,DuckDuckGo,6,2,app.mural.co,1,1,ibm.seismic.com,1,1,,,,,,,,,
2026-09-07,github.com,88,22,techzone.ibm.com,23,11,Google,20,9,teams.public.onecdn.static.microsoft,18,7,DuckDuckGo,6,2,app.mural.co,1,1,ibm.seismic.com,1,1,,,,,,,,,
2026-09-08,github.com,88,22,techzone.ibm.com,23,11,Google,20,9,teams.public.onecdn.static.microsoft,18,7,DuckDuckGo,6,2,app.mural.co,1,1,ibm.seismic.com,1,1,,,,,,,,,
2026-09-09,github.com,85,22,techzone.ibm.com,33,13,Google,20,9,teams.public.onecdn.static.microsoft,18,6,DuckDuckGo,6,2,app.mural.co,1,1,ibm.ent.box.com,1,1,ibm.seismic.com,1,1,,,,,,
2026-09-10,github.com,82,24,techzone.ibm.com,33,13,teams.public.onecdn.static.microsoft,25,9,Google,21,10,DuckDuckGo,6,2,app.mural.co,3,1,ibm.ent.box.com,1,1,ibm.seismic.com,1,1,,,,,,
2026-09-11,github.com,84,26,teams.public.onecdn.static.microsoft,36,12,techzone.ibm.com,32,13,Google,22,11,DuckDuckGo,6,2,app.mural.co,4,1,ibm.ent.box.com,1,1,ibm.seismic.com,1,1,statics.teams.cdn.office.net,1,1,,,
2026-09-12,github.com,73,26,teams.public.onecdn.static.microsoft,43,14,techzone.ibm.com,31,12,Google,17,9,DuckDuckGo,6,2,app.mural.co,4,1,ibm.ent.box.com,2,2,ibm.seismic.com,1,1,statics.teams.cdn.office.net,1,1,,,
2026-09-13,github.com,81,26,teams.public.onecdn.static.microsoft,51,17,techzone.ibm.com,30,12,Google,15,9,DuckDuckGo,6,2,app.mural.co,5,1,ibm.ent.box.com,2,2,pages.github.ibm.com,2,1,ibm.seismic.com,1,1,statics.teams.cdn.office.net,1,1
2026-09-14,github.com,81,26,teams.public.onecdn.static.microsoft,50,17,techzone.ibm.com,30,12,Google,15,9,DuckDuckGo,6,2,app.mural.co,5,1,ibm.ent.box.com,2,2,pages.github.ibm.com,2,1,ibm.seismic.com,1,1,statics.teams.cdn.office.net,1,1
2026-09-15,github.com,81,26,teams.public.onecdn.static.microsoft,50,17,techzone.ibm.com,31,13,Google,15,9,DuckDuckGo,6,2,app.mural.co,5,1,ibm.ent.box.com,2,2,pages.github.ibm.com,2,1,ibm.seismic.com,1,1,statics.teams.cdn.office.net,1,1
2026-09-16,github.com,69,23,teams.public.onecdn.static.microsoft,49,17,techzone.ibm.com,31,13,Google,15,9,app.mural.co,7,1,DuckDuckGo,6,2,ibm.ent.box.com,3,3,chatgpt.com,3,1,pages.github.ibm.com,2,1,ibm.seismic.com,1,1
2026-09-17,github.com,71,25,teams.public.onecdn.static.microsoft,50,19,techzone.ibm.com,26,13,app.mural.co,20,1,Google,12,9,ibm.ent.box.com,3,3,chatgpt.com,3,1,pages.github.ibm.com,2,1,DuckDuckGo,1,1,statics.teams.cdn.office.net,1,1
2026-09-18,github.com,56,19,teams.public.onecdn.static.microsoft,49,19,techzone.ibm.com,19,9,app.mural.co,19,1,Google,8,6,ibm.ent.box.com,3,3,chatgpt.com,3,1,pages.github.ibm.com,2,1,DuckDuckGo,1,1,jira.atlassian.eupen.com,1,1
2026-09-19,github.com,51,18,teams.public.onecdn.static.microsoft,47,18,app.mural.co,21,1,techzone.ibm.com,19,9,Google,11,9,ibm.ent.box.com,3,3,chatgpt.com,3,1,ibm.seismic.com,2,2,pages.github.ibm.com,2,1,DuckDuckGo,1,1
2026-09-20,teams.public.onecdn.static.microsoft,49,21,github.com,47,16,app.mural.co,21,1,techzone.ibm.com,18,8,Google,13,10,ibm.ent.box.com,3,3,chatgpt.com,3,1,ibm.seismic.com,2,2,pages.github.ibm.com,2,1,jira.atlassian.eupen.com,1,1
2026-09-20,teams.public.onecdn.static.microsoft,50,22,github.com,47,16,app.mural.co,21,1,techzone.ibm.com,18,8,Google,10,9,ibm.ent.box.com,3,3,chatgpt.com,3,1,ibm.seismic.com,2,2,pages.github.ibm.com,2,1,jira.atlassian.eupen.com,1,1
2026-09-21,teams.public.onecdn.static.microsoft,50,22,github.com,47,16,app.mural.co,21,1,techzone.ibm.com,18,8,Google,10,9,ibm.ent.box.com,3,3,chatgpt.com,3,1,ibm.seismic.com,2,2,pages.github.ibm.com,2,1,jira.atlassian.eupen.com,1,1
2026-09-22,teams.public.onecdn.static.microsoft,49,22,github.com,47,16,app.mural.co,21,1,techzone.ibm.com,17,7,Google,11,10,ibm.ent.box.com,3,3,chatgpt.com,3,1,ibm.seismic.com,2,2,pages.github.ibm.com,2,1,jira.atlassian.eupen.com,1,1
