date,ref_1,ref_1_count,ref_1_uniques,ref_2,ref_2_count,ref_2_uniques,ref_3,ref_3_count,ref_3_uniques,ref_4,ref_4_count,ref_4_uniques,ref_5,ref_5_count,ref_5_uniques,ref_6,ref_6_count,ref_6_uniques,ref_7,ref_7_count,ref_7_uniques,ref_8,ref_8_count,ref_8_uniques,ref_9,ref_9_count,ref_9_uniques,ref_10,ref_10_count,ref_10_uniques
2026-08-20,github.com,67,24,github.ibm.com,58,16,Google,13,3,teams.public.onecdn.static.microsoft,3,3,techzone.ibm.com,2,2,statics.teams.cdn.office.net,1,1,,,,,,,,,,,,
2026-08-20,github.com,67,24,github.ibm.com,58,16,Google,13,3,teams.public.onecdn.static.microsoft,3,3,techzone.ibm.com,2,2,statics.teams.cdn.office.net,1,1,,,,,,,,,,,,
2026-08-21,github.com,71,24,github.ibm.com,56,16,Google,14,4,teams.public.onecdn.static.microsoft,2,2,techzone.ibm.com,2,2,statics.teams.cdn.office.net,1,1,,,,,,,,,,,,
2026-08-22,github.com,71,25,github.ibm.com,55,15,Google,8,3,teams.public.onecdn.static.microsoft,2,2,techzone.ibm.com,2,2,statics.teams.cdn.office.net,1,1,,,,,,,,,,,,
2026-08-23,github.com,71,25,github.ibm.com,66,15,Google,9,3,teams.public.onecdn.static.microsoft,2,2,techzone.ibm.com,2,2,statics.teams.cdn.office.net,1,1,,,,,,,,,,,,
2026-08-24,github.com,71,25,github.ibm.com,53,14,Google,9,3,teams.public.onecdn.static.microsoft,2,2,techzone.ibm.com,2,2,statics.teams.cdn.office.net,1,1,,,,,,,,,,,,
2026-08-25,github.com,64,28,github.ibm.com,59,14,Google,7,2,teams.public.onecdn.static.microsoft,2,2,techzone.ibm.com,2,2,statics.teams.cdn.office.net,1,1,,,,,,,,,,,,
2026-08-27,github.com,69,30,github.ibm.com,68,17,Google,7,2,teams.public.onecdn.static.microsoft,2,2,statics.teams.cdn.office.net,1,1,techzone.ibm.com,1,1,,,,,,,,,,,,
2026-08-28,github.com,86,33,github.ibm.com,68,18,Google,10,4,teams.public.onecdn.static.microsoft,2,2,chatgpt.com,1,1,statics.teams.cdn.office.net,1,1,techzone.ibm.com,1,1,,,,,,,,,
2026-08-29,github.com,86,33,github.ibm.com,68,18,Google,10,4,teams.public.onecdn.static.microsoft,2,2,chatgpt.com,1,1,statics.teams.cdn.office.net,1,1,techzone.ibm.com,1,1,,,,,,,,,
2026-08-30,github.com,86,33,github.ibm.com,68,18,Google,10,4,teams.public.onecdn.static.microsoft,2,2,chatgpt.com,1,1,statics.teams.cdn.office.net,1,1,techzone.ibm.com,1,1,,,,,,,,,
2026-08-31,github.com,95,29,github.ibm.com,54,17,Google,9,4,teams.public.onecdn.static.microsoft,7,4,chatgpt.com,1,1,statics.teams.cdn.office.net,1,1,techzone.ibm.com,1,1,,,,,,,,,
2026-09-01,github.com,95,29,github.ibm.com,54,17,Google,9,4,teams.public.onecdn.static.microsoft,7,4,chatgpt.com,1,1,statics.teams.cdn.office.net,1,1,techzone.ibm.com,1,1,,,,,,,,,
2026-09-02,github.com,100,28,github.ibm.com,55,17,Google,14,5,teams.public.onecdn.static.microsoft,6,3,chatgpt.com,1,1,statics.teams.cdn.office.net,1,1,techzone.ibm.com,1,1,,,,,,,,,
2026-09-03,github.com,111,31,github.ibm.com,57,17,Google,13,5,teams.public.onecdn.static.microsoft,5,2,chatgpt.com,1,1,techzone.ibm.com,1,1,,,,,,,,,,,,
2026-09-04,github.com,132,36,github.ibm.com,63,19,Google,14,5,teams.public.onecdn.static.microsoft,7,4,chatgpt.com,1,1,,,,,,,,,,,,,,,
2026-09-05,github.com,137,36,github.ibm.com,70,22,teams.public.onecdn.static.microsoft,42,11,Google,13,4,chatgpt.com,1,1,,,,,,,,,,,,,,,
2026-09-06,github.com,136,35,github.ibm.com,85,25,teams.public.onecdn.static.microsoft,42,11,Google,14,4,chatgpt.com,1,1,,,,,,,,,,,,,,,
2026-09-07,github.com,136,35,github.ibm.com,74,24,teams.public.onecdn.static.microsoft,42,11,Google,13,4,chatgpt.com,1,1,,,,,,,,,,,,,,,
2026-09-08,github.com,136,35,github.ibm.com,74,24,teams.public.onecdn.static.microsoft,42,11,Google,13,4,chatgpt.com,1,1,,,,,,,,,,,,,,,
2026-09-09,github.com,139,37,github.ibm.com,66,23,teams.public.onecdn.static.microsoft,45,14,Google,14,4,chatgpt.com,1,1,statics.teams.cdn.office.net,1,1,,,,,,,,,,,,
2026-09-10,github.com,146,39,github.ibm.com,61,22,teams.public.onecdn.static.microsoft,45,14,Google,13,4,com.slack,3,1,chatgpt.com,1,1,statics.teams.cdn.office.net,1,1,,,,,,,,,
2026-09-11,github.com,149,39,github.ibm.com,64,23,teams.public.onecdn.static.microsoft,45,14,Google,13,4,com.slack,3,1,chatgpt.com,1,1,statics.teams.cdn.office.net,1,1,techzone.ibm.com,1,1,,,,,,
2026-09-12,github.com,146,41,github.ibm.com,64,21,teams.public.onecdn.static.microsoft,47,15,Google,12,3,com.slack,3,1,statics.teams.cdn.office.net,1,1,techzone.ibm.com,1,1,,,,,,,,,
2026-09-13,github.com,129,41,github.ibm.com,71,23,teams.public.onecdn.static.microsoft,45,16,Google,12,3,com.slack,3,1,chatgpt.com,2,1,statics.teams.cdn.office.net,1,1,techzone.ibm.com,1,1,,,,,,
2026-09-14,github.com,129,41,github.ibm.com,71,23,teams.public.onecdn.static.microsoft,45,16,Google,12,4,com.slack,3,1,chatgpt.com,2,1,statics.teams.cdn.office.net,1,1,techzone.ibm.com,1,1,,,,,,
2026-09-15,github.com,140,43,github.ibm.com,71,23,teams.public.onecdn.static.microsoft,45,16,Google,12,4,com.slack,3,1,chatgpt.com,2,1,statics.teams.cdn.office.net,1,1,techzone.ibm.com,1,1,,,,,,
2026-09-16,github.com,134,42,github.ibm.com,68,25,teams.public.onecdn.static.microsoft,46,16,Google,17,5,chatgpt.com,5,2,com.slack,3,1,statics.teams.cdn.office.net,1,1,techzone.ibm.com,1,1,,,,,,
2026-09-17,github.com,122,40,github.ibm.com,63,24,teams.public.onecdn.static.microsoft,54,20,Google,17,6,chatgpt.com,5,2,com.slack,3,1,statics.teams.cdn.office.net,1,1,techzone.ibm.com,1,1,,,,,,
2026-09-18,github.com,100,35,teams.public.onecdn.static.microsoft,59,23,github.ibm.com,52,23,Google,19,8,chatgpt.com,5,2,com.slack,3,1,statics.teams.cdn.office.net,1,1,techzone.ibm.com,1,1,,,,,,
2026-09-19,github.com,90,35,github.ibm.com,44,18,teams.public.onecdn.static.microsoft,27,16,Google,22,11,chatgpt.com,5,2,com.slack,3,1,statics.teams.cdn.office.net,1,1,techzone.ibm.com,1,1,,,,,,
2026-09-20,github.com,90,34,github.ibm.com,30,16,teams.public.onecdn.static.microsoft,28,17,Google,25,14,chatgpt.com,5,2,com.slack,3,1,statics.teams.cdn.office.net,1,1,techzone.ibm.com,1,1,,,,,,
2026-09-20,github.com,92,35,github.ibm.com,30,16,teams.public.onecdn.static.microsoft,28,17,Google,26,14,chatgpt.com,5,2,com.slack,3,1,statics.teams.cdn.office.net,1,1,techzone.ibm.com,1,1,,,,,,
2026-09-21,github.com,92,35,github.ibm.com,30,16,teams.public.onecdn.static.microsoft,28,17,Google,26,14,chatgpt.com,5,2,com.slack,3,1,statics.teams.cdn.office.net,1,1,techzone.ibm.com,1,1,,,,,,
2026-09-22,github.com,92,35,github.ibm.com,33,17,teams.public.onecdn.static.microsoft,28,17,Google,25,13,chatgpt.com,5,2,com.slack,3,1,statics.teams.cdn.office.net,1,1,techzone.ibm.com,1,1,,,,,,
2026-09-23,github.com,85,38,github.ibm.com,34,18,teams.public.onecdn.static.microsoft,28,17,Google,25,13,chatgpt.com,5,2,com.slack,3,1,techzone.ibm.com,1,1,,,,,,,,,
